peer_id,template,host_id,host_type,ip,port,layer_start,layer_end,cpu_load,fail_rate,trust0,net_delay_ms
w00000_3,P_guaranteed_safe,P1,P,100.125.8.57,6011,0,2,1,0.0,1.0,24
w00001_3,P_normal,P1,P,100.125.8.57,6011,0,2,1,0.0068,0.9803,1
w00002_3,P_normal,P1,P,100.125.8.57,6011,0,2,1,0.0003,0.9197,1
w00003_3,P_normal,P1,P,100.125.8.57,6011,0,2,2,0.0022,0.953,1
w00004_3,P_risky_fast,P1,P,100.125.8.57,6010,0,2,1,0.2153,0.5263,1
w00005_3,P_normal,P1,P,100.125.8.57,6011,0,2,2,0.001,0.9763,2
w00006_3,P_risky_fast,P1,P,100.125.8.57,6010,0,2,1,0.2943,0.4793,1
w00007_3,P_normal,P1,P,100.125.8.57,6011,0,2,2,0.0058,0.9634,1
w00008_3,P_guaranteed_safe,P2,P,100.114.143.4,6011,3,5,2,0.0,1.0,29
w00009_3,P_safe_slow,P2,P,100.114.143.4,6011,3,5,4,0.001,0.9934,257
w00010_3,P_risky_fast,P2,P,100.114.143.4,6010,3,5,1,0.3484,0.4879,1
w00011_3,P_risky_fast,P2,P,100.114.143.4,6010,3,5,1,0.2473,0.4532,1
w00012_3,P_risky_fast,P2,P,100.114.143.4,6010,3,5,1,0.3327,0.4999,1
w00013_3,P_normal,P2,P,100.114.143.4,6011,3,5,2,0.0014,0.9126,2
w00014_3,P_normal,P2,P,100.114.143.4,6011,3,5,2,0.009,0.9359,1
w00015_3,P_normal,P2,P,100.114.143.4,6011,3,5,1,0.0051,0.9082,1
w00016_3,P_guaranteed_safe,P3,P,100.98.138.112,6011,6,8,1,0.0,1.0,34
w00017_3,P_normal,P3,P,100.98.138.112,6011,6,8,2,0.0038,0.9897,2
w00018_3,P_normal,P3,P,100.98.138.112,6011,6,8,1,0.0068,0.9103,2
w00019_3,P_risky_fast,P3,P,100.98.138.112,6010,6,8,1,0.308,0.5222,1
w00020_3,P_normal,P3,P,100.98.138.112,6011,6,8,1,0.0051,0.9096,2
w00021_3,P_normal,P3,P,100.98.138.112,6011,6,8,1,0.0015,0.9686,1
w00022_3,P_risky_fast,P3,P,100.98.138.112,6010,6,8,1,0.2851,0.4741,1
w00023_3,P_normal,P3,P,100.98.138.112,6011,6,8,1,0.0009,0.9437,1
w00024_3,P_guaranteed_safe,P4,P,100.98.206.68,6011,9,11,1,0.0,1.0,26
w00025_3,P_normal,P4,P,100.98.206.68,6011,9,11,2,0.0096,0.9836,1
w00026_3,P_normal,P4,P,100.98.206.68,6011,9,11,2,0.01,0.9585,2
w00027_3,P_risky_fast,P4,P,100.98.206.68,6010,9,11,1,0.2883,0.5054,1
w00028_3,P_risky_fast,P4,P,100.98.206.68,6010,9,11,1,0.2496,0.4531,1
w00029_3,P_normal,P4,P,100.98.206.68,6011,9,11,1,0.0028,0.9437,1
w00030_3,P_risky_fast,P4,P,100.98.206.68,6010,9,11,1,0.2647,0.4597,1
w00031_3,P_normal,P4,P,100.98.206.68,6011,9,11,2,0.0041,0.9777,1
w00032_3,P_guaranteed_safe,P4,P,100.98.206.68,6012,12,14,1,0.0,1.0,26
w00033_3,P_risky_fast,P4,P,100.98.206.68,6011,12,14,1,0.3385,0.475,1
w00034_3,P_risky_fast,P4,P,100.98.206.68,6011,12,14,1,0.3254,0.5499,1
w00035_3,P_safe_slow,P4,P,100.98.206.68,6012,12,14,2,0.001,0.9896,281
w00036_3,P_risky_fast,P4,P,100.98.206.68,6011,12,14,1,0.2683,0.5284,1
w00037_3,P_risky_fast,P4,P,100.98.206.68,6011,12,14,1,0.3453,0.4797,1
w00038_3,P_normal,P4,P,100.98.206.68,6012,12,14,1,0.0075,0.9051,2
w00039_3,P_risky_fast,P4,P,100.98.206.68,6011,12,14,1,0.3293,0.4568,1
w00040_3,D_guaranteed_safe,D1,D,100.127.57.79,6011,15,17,3,0.0,1.0,35
w00041_3,D_normal,D1,D,100.127.57.79,6011,15,17,2,0.0162,0.8629,4
w00042_3,D_safe_slow,D1,D,100.127.57.79,6011,15,17,4,0.001,0.9934,199
w00043_3,D_safe_slow,D1,D,100.127.57.79,6011,15,17,6,0.001,1.0,301
w00044_3,D_normal,D1,D,100.127.57.79,6011,15,17,2,0.0154,0.8759,3
w00045_3,D_safe_slow,D1,D,100.127.57.79,6011,15,17,4,0.001,0.9909,198
w00046_3,D_normal,D1,D,100.127.57.79,6011,15,17,4,0.0153,0.9002,4
w00047_3,D_normal,D1,D,100.127.57.79,6011,15,17,2,0.0194,0.8201,2
w00048_3,R_guaranteed_safe,R1,R,100.74.230.125,6011,18,20,5,0.0,1.0,30
w00049_3,R_normal,R1,R,100.74.230.125,6011,18,20,4,0.0261,0.7951,4
w00050_3,R_normal,R1,R,100.74.230.125,6011,18,20,4,0.0472,0.8269,2
w00051_3,R_normal,R1,R,100.74.230.125,6011,18,20,4,0.0213,0.75,3
w00052_3,R_safe_slow,R1,R,100.74.230.125,6011,18,20,8,0.001,0.9802,168
w00053_3,R_safe_slow,R1,R,100.74.230.125,6011,18,20,10,0.001,0.9911,222
w00054_3,R_normal,R1,R,100.74.230.125,6011,18,20,3,0.0292,0.8348,8
w00055_3,R_normal,R1,R,100.74.230.125,6011,18,20,3,0.047,0.7315,3
w00056_3,R_guaranteed_safe,R2,R,100.117.250.58,6011,21,23,4,0.0,1.0,44
w00057_3,R_risky_fast,R2,R,100.117.250.58,6010,21,23,1,0.2266,0.53,1
w00058_3,R_normal,R2,R,100.117.250.58,6011,21,23,4,0.0207,0.8105,4
w00059_3,R_risky_fast,R2,R,100.117.250.58,6010,21,23,1,0.3052,0.4659,1
w00060_3,R_risky_fast,R2,R,100.117.250.58,6010,21,23,1,0.2524,0.5418,1
w00061_3,R_safe_slow,R2,R,100.117.250.58,6011,21,23,6,0.001,0.9973,300
w00062_3,R_normal,R2,R,100.117.250.58,6011,21,23,4,0.0305,0.7764,7
w00063_3,R_risky_fast,R2,R,100.117.250.58,6010,21,23,1,0.2398,0.5463,1
w00064_3,R_guaranteed_safe,R3,R,100.91.8.70,6011,24,26,3,0.0,1.0,34
w00065_3,R_risky_fast,R3,R,100.91.8.70,6010,24,26,1,0.2654,0.4544,1
w00066_3,R_normal,R3,R,100.91.8.70,6011,24,26,5,0.0478,0.7808,7
w00067_3,R_normal,R3,R,100.91.8.70,6011,24,26,5,0.0401,0.7546,2
w00068_3,R_normal,R3,R,100.91.8.70,6011,24,26,4,0.0387,0.7995,2
w00069_3,R_safe_slow,R3,R,100.91.8.70,6011,24,26,8,0.001,0.9859,173
w00070_3,R_normal,R3,R,100.91.8.70,6011,24,26,4,0.0399,0.7569,7
w00071_3,R_risky_fast,R3,R,100.91.8.70,6010,24,26,1,0.2645,0.4787,1
w00072_3,R_guaranteed_safe,R4,R,100.118.84.7,6011,27,29,5,0.0,1.0,34
w00073_3,R_normal,R4,R,100.118.84.7,6011,27,29,3,0.0353,0.8191,8
w00074_3,R_normal,R4,R,100.118.84.7,6011,27,29,5,0.0225,0.7773,7
w00075_3,R_safe_slow,R4,R,100.118.84.7,6011,27,29,6,0.001,0.9961,179
w00076_3,R_normal,R4,R,100.118.84.7,6011,27,29,3,0.0273,0.7713,8
w00077_3,R_normal,R4,R,100.118.84.7,6011,27,29,4,0.0324,0.7945,3
w00078_3,R_normal,R4,R,100.118.84.7,6011,27,29,4,0.0348,0.7366,7
w00079_3,R_normal,R4,R,100.118.84.7,6011,27,29,3,0.0434,0.7328,8
w00080_3,L_guaranteed_safe,L1,L,100.102.150.87,6011,30,32,8,0.0,1.0,37
w00081_3,L_normal,L1,L,100.102.150.87,6011,30,32,7,0.0634,0.7976,15
w00082_3,L_normal,L1,L,100.102.150.87,6011,30,32,7,0.0606,0.7439,18
w00083_3,L_safe_slow,L1,L,100.102.150.87,6011,30,32,16,0.001,0.995,296
w00084_3,L_risky_fast,L1,L,100.102.150.87,6010,30,32,1,0.2429,0.4577,1
