peer_id,template,host_id,host_type,ip,port,layer_start,layer_end,cpu_load,fail_rate,trust0,net_delay_ms
w00000_6,P_guaranteed_safe,P1,P,100.125.8.57,6101,0,5,1,0.0,1.0,24
w00001_6,P_normal,P1,P,100.125.8.57,6101,0,5,1,0.0068,0.9803,1
w00002_6,P_normal,P1,P,100.125.8.57,6101,0,5,1,0.0003,0.9197,1
w00003_6,P_normal,P1,P,100.125.8.57,6101,0,5,2,0.0022,0.953,1
w00004_6,P_risky_fast,P1,P,100.125.8.57,6100,0,5,1,0.2153,0.5263,1
w00005_6,P_normal,P1,P,100.125.8.57,6101,0,5,2,0.001,0.9763,2
w00006_6,P_risky_fast,P1,P,100.125.8.57,6100,0,5,1,0.2943,0.4793,1
w00007_6,P_normal,P1,P,100.125.8.57,6101,0,5,2,0.0058,0.9634,1
w00008_6,P_guaranteed_safe,P2,P,100.114.143.4,6101,6,11,2,0.0,1.0,29
w00009_6,P_safe_slow,P2,P,100.114.143.4,6101,6,11,4,0.001,0.9934,257
w00010_6,P_risky_fast,P2,P,100.114.143.4,6100,6,11,1,0.3484,0.4879,1
w00011_6,P_risky_fast,P2,P,100.114.143.4,6100,6,11,1,0.2473,0.4532,1
w00012_6,P_risky_fast,P2,P,100.114.143.4,6100,6,11,1,0.3327,0.4999,1
w00013_6,P_normal,P2,P,100.114.143.4,6101,6,11,2,0.0014,0.9126,2
w00014_6,P_normal,P2,P,100.114.143.4,6101,6,11,2,0.009,0.9359,1
w00015_6,P_normal,P2,P,100.114.143.4,6101,6,11,1,0.0051,0.9082,1
w00016_6,P_guaranteed_safe,P3,P,100.98.138.112,6101,12,17,1,0.0,1.0,34
w00017_6,P_normal,P3,P,100.98.138.112,6101,12,17,2,0.0038,0.9897,2
w00018_6,P_normal,P3,P,100.98.138.112,6101,12,17,1,0.0068,0.9103,2
w00019_6,P_risky_fast,P3,P,100.98.138.112,6100,12,17,1,0.308,0.5222,1
w00020_6,P_normal,P3,P,100.98.138.112,6101,12,17,1,0.0051,0.9096,2
w00021_6,P_normal,P3,P,100.98.138.112,6101,12,17,1,0.0015,0.9686,1
w00022_6,P_risky_fast,P3,P,100.98.138.112,6100,12,17,1,0.2851,0.4741,1
w00023_6,P_normal,P3,P,100.98.138.112,6101,12,17,1,0.0009,0.9437,1
w00024_6,P_guaranteed_safe,P4,P,100.98.206.68,6101,18,23,1,0.0,1.0,26
w00025_6,P_normal,P4,P,100.98.206.68,6101,18,23,2,0.0096,0.9836,1
w00026_6,P_normal,P4,P,100.98.206.68,6101,18,23,2,0.01,0.9585,2
w00027_6,P_risky_fast,P4,P,100.98.206.68,6100,18,23,1,0.2883,0.5054,1
w00028_6,P_risky_fast,P4,P,100.98.206.68,6100,18,23,1,0.2496,0.4531,1
w00029_6,P_normal,P4,P,100.98.206.68,6101,18,23,1,0.0028,0.9437,1
w00030_6,P_risky_fast,P4,P,100.98.206.68,6100,18,23,1,0.2647,0.4597,1
w00031_6,P_normal,P4,P,100.98.206.68,6101,18,23,2,0.0041,0.9777,1
w00032_6,P_guaranteed_safe,P4,P,100.98.206.68,6102,24,29,1,0.0,1.0,26
w00033_6,P_risky_fast,P4,P,100.98.206.68,6101,24,29,1,0.3385,0.475,1
w00034_6,P_risky_fast,P4,P,100.98.206.68,6101,24,29,1,0.3254,0.5499,1
w00035_6,P_safe_slow,P4,P,100.98.206.68,6102,24,29,2,0.001,0.9896,281
w00036_6,P_risky_fast,P4,P,100.98.206.68,6101,24,29,1,0.2683,0.5284,1
w00037_6,P_risky_fast,P4,P,100.98.206.68,6101,24,29,1,0.3453,0.4797,1
w00038_6,P_normal,P4,P,100.98.206.68,6102,24,29,1,0.0075,0.9051,2
w00039_6,P_risky_fast,P4,P,100.98.206.68,6101,24,29,1,0.3293,0.4568,1
w00040_6,D_guaranteed_safe,D1,D,100.127.57.79,6101,30,35,3,0.0,1.0,35
w00041_6,D_normal,D1,D,100.127.57.79,6101,30,35,2,0.0162,0.8629,4
w00042_6,D_safe_slow,D1,D,100.127.57.79,6101,30,35,4,0.001,0.9934,199
w00043_6,D_safe_slow,D1,D,100.127.57.79,6101,30,35,6,0.001,1.0,301
w00044_6,D_normal,D1,D,100.127.57.79,6101,30,35,2,0.0154,0.8759,3
w00045_6,D_safe_slow,D1,D,100.127.57.79,6101,30,35,4,0.001,0.9909,198
w00046_6,D_normal,D1,D,100.127.57.79,6101,30,35,4,0.0153,0.9002,4
w00047_6,D_normal,D1,D,100.127.57.79,6101,30,35,2,0.0194,0.8201,2
w00048_6,R_guaranteed_safe,R1,R,100.74.230.125,6101,0,5,5,0.0,1.0,30
w00049_6,R_normal,R1,R,100.74.230.125,6101,0,5,4,0.0261,0.7951,4
w00050_6,R_normal,R1,R,100.74.230.125,6101,0,5,4,0.0472,0.8269,2
w00051_6,R_normal,R1,R,100.74.230.125,6101,0,5,4,0.0213,0.75,3
w00052_6,R_safe_slow,R1,R,100.74.230.125,6101,0,5,8,0.001,0.9802,168
w00053_6,R_safe_slow,R1,R,100.74.230.125,6101,0,5,10,0.001,0.9911,222
w00054_6,R_normal,R1,R,100.74.230.125,6101,0,5,3,0.0292,0.8348,8
w00055_6,R_normal,R1,R,100.74.230.125,6101,0,5,3,0.047,0.7315,3
w00056_6,R_guaranteed_safe,R2,R,100.117.250.58,6101,6,11,4,0.0,1.0,44
w00057_6,R_risky_fast,R2,R,100.117.250.58,6100,6,11,1,0.2266,0.53,1
w00058_6,R_normal,R2,R,100.117.250.58,6101,6,11,4,0.0207,0.8105,4
w00059_6,R_risky_fast,R2,R,100.117.250.58,6100,6,11,1,0.3052,0.4659,1
w00060_6,R_risky_fast,R2,R,100.117.250.58,6100,6,11,1,0.2524,0.5418,1
w00061_6,R_safe_slow,R2,R,100.117.250.58,6101,6,11,6,0.001,0.9973,300
w00062_6,R_normal,R2,R,100.117.250.58,6101,6,11,4,0.0305,0.7764,7
w00063_6,R_risky_fast,R2,R,100.117.250.58,6100,6,11,1,0.2398,0.5463,1
w00064_6,R_guaranteed_safe,R3,R,100.91.8.70,6101,12,17,3,0.0,1.0,34
w00065_6,R_risky_fast,R3,R,100.91.8.70,6100,12,17,1,0.2654,0.4544,1
w00066_6,R_normal,R3,R,100.91.8.70,6101,12,17,5,0.0478,0.7808,7
w00067_6,R_normal,R3,R,100.91.8.70,6101,12,17,5,0.0401,0.7546,2
w00068_6,R_normal,R3,R,100.91.8.70,6101,12,17,4,0.0387,0.7995,2
